pID,mean_fd_nonSoc,max_fd_nonSoc,mean_fd_soc,max_fd_soc,mean_fd_all,max_fd_all
2,1.12E-01,6.08E-01,1.16E-01,7.33E-01,1.14E-01,7.33E-01
5,2.04E-01,1.47E+00,2.24E-01,1.93E+00,2.14E-01,1.93E+00
8,7.73E-02,2.29E-01,7.53E-02,2.45E-01,7.63E-02,2.45E-01
9,1.22E-01,2.60E-01,1.33E-01,2.93E-01,1.27E-01,2.93E-01
11,1.45E-01,6.74E-01,1.54E-01,4.34E-01,1.50E-01,6.74E-01
12,2.07E-01,2.19E+00,1.85E-01,1.51E+00,1.96E-01,2.19E+00
15,1.26E-01,7.69E-01,1.70E-01,2.45E+00,1.48E-01,2.45E+00
16,1.05E-01,6.42E-01,9.65E-02,6.90E-01,1.01E-01,6.90E-01
18,1.34E-01,9.05E-01,1.33E-01,8.50E-01,1.34E-01,9.05E-01
19,1.34E-01,9.21E-01,1.48E-01,7.17E-01,1.41E-01,9.21E-01
21,8.36E-02,5.05E-01,9.07E-02,8.92E-01,8.72E-02,8.92E-01
23,3.14E-01,1.32E+00,2.96E-01,1.93E+00,3.05E-01,1.93E+00
24,1.30E-01,6.37E-01,1.14E-01,4.17E-01,1.22E-01,6.37E-01
25,1.23E-01,7.84E-01,1.29E-01,7.85E-01,1.26E-01,7.85E-01
26,1.32E-01,3.62E-01,1.49E-01,1.45E+00,1.41E-01,1.45E+00
27,1.32E-01,5.48E-01,1.35E-01,5.83E-01,1.33E-01,5.83E-01
29,1.02E-01,3.62E-01,1.13E-01,3.71E-01,1.08E-01,3.71E-01
30,1.14E-01,6.37E-01,1.58E-01,6.35E-01,1.36E-01,6.37E-01
31,1.68E-01,1.01E+00,1.63E-01,5.84E-01,1.65E-01,1.01E+00
32,1.24E-01,6.87E-01,1.29E-01,5.41E-01,1.26E-01,6.87E-01
33,1.26E-01,5.71E-01,1.17E-01,9.47E-01,1.21E-01,9.47E-01
34,1.90E-01,6.77E-01,1.91E-01,9.75E-01,1.90E-01,9.75E-01
35,1.24E-01,1.04E+00,1.44E-01,2.94E+00,1.34E-01,2.94E+00
36,1.04E-01,5.72E-01,9.94E-02,6.73E-01,1.02E-01,6.73E-01
37,1.12E-01,2.79E-01,1.11E-01,3.41E-01,1.11E-01,3.41E-01
39,1.50E-01,3.22E-01,1.30E-01,3.35E-01,1.40E-01,3.35E-01