,combhubs_global,Hippocampus_global,Hippocampus_L_global,Hippocampus_R_global,diffhubs_global,TPJ_L_global,TPJ_R_global,diffhubs_ns_global,dmPFC_L_global,dmPFC_R_global,lPFC_L_global,lPFC_R_global
0,-0.661955096,-0.300232259,0.100433721,-0.649523596,0.237846695,-1.625763386,0.938475698,-0.186567182,-0.661955096,-0.428894504,1.538198859,-0.050153583
1,0.478913734,-0.232692749,-1.25908398,1.036433389,0.161118589,0.512930411,-0.070243314,-0.863250052,-1.174986792,0.02005437,-1.911035648,-0.631061979
2,-0.863250052,0.025068908,1.071376889,-1.089349028,-0.507220661,-0.806421247,-0.268908624,-2.878161739,0.938475698,-2.326347874,-0.765456097,-4
3,0.738846849,0.300232259,0.693493346,-0.186567182,0.518656932,2.652069808,-0.915365088,-2.326347874,0.970093277,-2.326347874,-1.607247892,-2.512144328
4,2.408915546,4,2.197286377,4,4,4,1.571786817,0.738846849,0.342466301,1.270237622,2.652069808,-1.554773595
5,4,0.450985499,1.155220847,-0.337155077,-2.257129244,-0.473298825,-2.326347874,2.878161739,4,2.408915546,1.571786817,-0.176374165
6,-0.401570696,4,4,4,2.512144328,1.977368428,4,-4,-2.014090812,-2.512144328,-4,-4
7,1.340755034,2.878161739,2.878161739,2.652069808,0.772193214,-0.785773832,1.25908398,-0.19677962,-0.758753545,0.222403227,-1.126391129,0.248173718
8,0.71275076,-0.434397242,-0.3907257,-0.512930411,1.446632067,1.589267557,1.126391129,-0.222403227,-1.027893346,-0.310737745,-1.943133751,1.571786817
9,0.507220661,2.652069808,4,1.270237622,2.408915546,2.878161739,2.053748911,-2.878161739,-0.863250052,-4,1.506261723,-1.304685385
10,0.785773832,0.71275076,0.3907257,0.834498735,-0.618873041,0.456542384,-0.994457883,-0.396142374,0.090361437,0.075269862,0.06521854,-1.418653706
11,4,4,4,4,0.417927672,1.391743779,0.025068908,2.014090812,4,2.652069808,0.060195412,-0.90776953
12,-0.358458793,-0.848786686,0.050153583,-1.750686071,-0.687131287,0.507220661,-0.923013826,-0.512930411,4,-1.77438191,4,-1.706043397
13,2.652069808,-0.207012623,-0.785773832,0.456542384,0.125661347,-0.643345405,0.423404722,0.970093277,0.060195412,1.089349028,-1.943133751,1.391743779
14,-2.408915546,-1.391743779,-1.706043397,-0.618873041,-0.289759805,-1.09846842,0.100433721,-2.878161739,-2.512144328,-2.652069808,-4,0
15,1.490853355,1.353174155,1.446632067,1.116986728,0.863250052,1.40507156,0.222403227,-1.607247892,0.232692749,-2.144410621,-0.834498735,-0.045134628
16,2.197286377,0.125661347,-0.055173802,0.243006967,-4,-2.878161739,-2.096927429,1.644853627,1.22652812,1.880793608,4,-0.559236978
17,1.185044128,1.977368428,1.880793608,1.607247892,-1.011034328,0.310737745,-1.506261723,0.67448975,-0.379926467,2.652069808,-1.365805563,-0.930716949
18,2.408915546,1.644853627,1.911035648,1.089349028,-0.643345405,-0.772193214,-0.412463129,4,1.644853627,1.880793608,1.706043397,4
19,-1.799118107,-2.878161739,-1.880793608,-4,-0.050153583,4,-1.571786817,-2.053748911,-2.014090812,-0.661955096,-4,-0.661955096
20,-1.340755034,1.293031976,0.456542384,1.943133751,1.706043397,1.943133751,0.923013826,-1.625763386,-0.994457883,-0.379926467,-0.363809859,-4
21,1.071376889,0.212137198,-1.625763386,1.799118107,0.778965564,1.080319341,0.547551353,-1.644853627,-4,0.347787204,-1.607247892,-1.644853627
22,-4,-2.652069808,-4,-1.911035648,-1.432502721,-1.684940768,-0.930716949,-2.878161739,-2.512144328,-1.880793608,-2.878161739,-1.25908398
23,0.473298825,2.144410621,4,1.107680092,1.22652812,2.014090812,0.661955096,-2.014090812,-4,-2.408915546,0.379926467,1.248084811
24,0.342466301,-1.446632067,-0.316003304,-2.408915546,-4,-4,-4,4,4,1.378658729,0.570999473,1.418653706
25,-0.606775364,2.878161739,2.014090812,4,1.977368428,-0.385320466,2.326347874,-0.445442506,-2.096927429,-0.834498735,1.237234599,1.589267557