pID,INDvsCOL,Holism,IRI_PT,Ravens_nCorr
2,3.8,5.25,3.857142857,8
5,4.066666667,4.166666667,3.714285714,9
8,4.333333333,3.916666667,4.428571429,4
9,5,4.5,2.857142857,12
11,3.533333333,5.041666667,4.714285714,8
12,2.933333333,6.291666667,5.142857143,2
15,3.866666667,4.625,3.714285714,2
16,5.2,5.625,3.714285714,12
18,3.533333333,5.041666667,5.142857143,6
19,3.333333333,5,4.571428571,11
21,4.4,3.5,2.714285714,10
23,5.066666667,5.041666667,4.285714286,7
24,5.133333333,4.416666667,4.857142857,10
25,4.133333333,4.583333333,4.285714286,10
26,4.266666667,5,5.285714286,11
27,3.2,5.125,5,11
29,4,4.375,4.857142857,9
30,3.2,5.5,5.142857143,8
31,4.066666667,5.791666667,5.428571429,10
32,4.066666667,5.083333333,5,7
33,4.266666667,4.666666667,4,7
34,2.866666667,4.833333333,4.428571429,6
35,3.8,4.958333333,5,7
36,4.333333333,4.791666667,3.571428571,10
37,3.4,4.833333333,4.142857143,3
39,4.066666667,5.208333333,3.714285714,9